date,elapsed time,height
2019-12-22 22:14:04,0,0
2019-12-22 23:51:11,5827,1
2019-12-22 23:51:16,5832,2
2019-12-22 23:51:16,5832,3
2019-12-22 23:51:16,5832,4
2019-12-22 23:51:17,5833,5
2019-12-22 23:51:17,5833,6
2019-12-22 23:51:17,5833,7
2019-12-22 23:51:17,5833,8
2019-12-22 23:51:17,5833,9
2019-12-22 23:56:27,6143,1025
2019-12-23 00:04:22,6618,2117
2019-12-23 00:14:10,7206,12041
2019-12-23 00:24:10,7806,13566
2019-12-23 00:34:09,8405,17989
2019-12-23 00:44:05,9001,20493
2019-12-23 00:54:05,9601,30715
2019-12-23 01:04:07,10203,40152
2019-12-23 01:14:08,10804,49983
2019-12-23 01:24:08,11404,77624
2019-12-23 01:34:08,12004,98943
2019-12-23 01:44:12,12608,123918
2019-12-23 01:54:05,13201,127855
2019-12-23 02:04:04,13800,195243
2019-12-23 02:14:04,14400,277932
2019-12-23 02:24:04,15000,359192
2019-12-23 02:34:04,15600,442045
2019-12-23 02:44:04,16200,525151
2019-12-23 02:54:04,16800,607992
2019-12-23 03:04:04,17400,691770
2019-12-23 03:14:04,18000,774325
2019-12-23 03:24:04,18600,856732
2019-12-23 03:34:04,19200,939193
2019-12-23 03:44:04,19800,1019433
2019-12-23 03:54:04,20400,1095461
2019-12-23 04:04:04,21000,1171601
2019-12-23 04:14:04,21600,1252717
2019-12-23 04:24:04,22200,1332088
2019-12-23 04:34:04,22800,1411686
2019-12-23 04:44:04,23400,1487182
2019-12-23 04:54:04,24000,1562672
2019-12-23 05:04:04,24600,1632346
2019-12-23 05:14:04,25200,1691488
2019-12-23 05:24:04,25800,1749341
2019-12-23 05:34:04,26400,1820842
2019-12-23 05:44:04,27000,1892906
2019-12-23 05:54:04,27600,1968461
2019-12-23 06:04:04,28200,2041132
2019-12-23 06:14:09,28805,2092279
2019-12-23 06:24:09,29405,2092382
2019-12-23 06:34:14,30010,2092517
2019-12-23 06:44:05,30601,2092646
2019-12-23 06:54:15,31211,2092757
2019-12-23 07:04:04,31800,2092861
2019-12-23 07:14:06,32402,2092983
2019-12-23 07:24:08,33004,2093100
2019-12-23 07:34:07,33603,2093200
2019-12-23 07:44:11,34207,2093328
2019-12-23 07:54:05,34801,2093436
2019-12-23 08:04:12,35408,2093558
2019-12-23 08:14:28,36024,2093682
2019-12-23 08:24:10,36606,2093789
2019-12-23 08:34:04,37200,2093901
2019-12-23 08:44:23,37819,2094037
2019-12-23 08:54:05,38401,2094166
2019-12-23 09:04:06,39002,2094294
2019-12-23 09:14:06,39602,2094409
2019-12-23 09:24:07,40203,2094532
2019-12-23 09:34:14,40810,2094654
2019-12-23 09:44:04,41400,2094787
2019-12-23 09:54:04,42000,2094917
2019-12-23 10:04:08,42604,2095054
2019-12-23 10:14:04,43200,2095187
2019-12-23 10:24:11,43807,2095312
2019-12-23 10:34:07,44403,2095431
