date,elapsed time,height
2019-12-21 18:16:10,0,0
2019-12-21 18:26:10,600,92272
2019-12-21 18:36:10,1200,184227
2019-12-21 18:46:10,1800,276919
2019-12-21 18:56:10,2400,367792
2019-12-21 19:06:10,3000,459167
2019-12-21 19:16:10,3600,550269
2019-12-21 19:26:10,4200,643183
2019-12-21 19:36:10,4800,732108
2019-12-21 19:46:10,5400,823495
2019-12-21 19:56:10,6000,916919
2019-12-21 20:06:10,6600,1008905
2019-12-21 20:16:10,7200,1102013
2019-12-21 20:26:10,7800,1194614
2019-12-21 20:36:10,8400,1288574
2019-12-21 20:46:10,9000,1384216
2019-12-21 20:56:10,9600,1485068
2019-12-21 21:06:10,10200,1587178
2019-12-21 21:16:10,10800,1689208
2019-12-21 21:26:10,11400,1791229
2019-12-21 21:36:10,12000,1892837
2019-12-21 21:46:10,12600,1994245
2019-12-21 21:56:19,13209,2069362
2019-12-21 22:06:10,13800,2069440
