date,elapsed time,height
2020-04-23 19:05:45,0,0
2020-04-23 19:08:22,157,1
2020-04-23 19:08:22,157,2
2020-04-23 19:08:45,180,721
2020-04-23 19:09:45,240,35640
2020-04-23 19:10:45,300,70850
2020-04-23 19:11:45,360,103678
2020-04-23 19:12:45,420,128418
2020-04-23 19:13:45,480,141509
2020-04-23 19:14:45,540,157156
2020-04-23 19:15:45,600,171332
2020-04-23 19:16:45,660,180101
2020-04-23 19:17:45,720,185340
2020-04-23 19:18:45,780,192329
2020-04-23 19:19:45,840,197751
2020-04-23 19:20:45,900,203630
2020-04-23 19:21:45,960,209510
2020-04-23 19:22:45,1020,213843
2020-04-23 19:23:45,1080,217887
2020-04-23 19:24:45,1140,221421
2020-04-23 19:25:45,1200,224971
2020-04-23 19:26:45,1260,228964
2020-04-23 19:27:45,1320,232632
2020-04-23 19:28:45,1380,233632
2020-04-23 19:29:45,1440,236620
2020-04-23 19:30:45,1500,240224
2020-04-23 19:31:45,1560,244369
2020-04-23 19:32:45,1620,249581
2020-04-23 19:33:45,1680,253843
2020-04-23 19:34:45,1740,258080
2020-04-23 19:35:45,1800,261864
2020-04-23 19:36:45,1860,265801
2020-04-23 19:37:45,1920,269255
2020-04-23 19:38:45,1980,271862
2020-04-23 19:39:53,2048,273212
2020-04-23 19:40:45,2100,274736
2020-04-23 19:41:45,2160,277088
2020-04-23 19:42:45,2220,279606
2020-04-23 19:43:45,2280,282332
2020-04-23 19:44:45,2340,284656
2020-04-23 19:45:45,2400,287349
2020-04-23 19:46:45,2460,289386
2020-04-23 19:47:45,2520,291557
2020-04-23 19:48:45,2580,294070
2020-04-23 19:49:45,2640,295227
2020-04-23 19:50:45,2700,297161
2020-04-23 19:51:45,2760,299197
2020-04-23 19:52:45,2820,301333
2020-04-23 19:53:45,2880,303382
2020-04-23 19:54:45,2940,305347
2020-04-23 19:55:45,3000,307957
2020-04-23 19:56:45,3060,310030
2020-04-23 19:57:45,3120,312178
2020-04-23 19:58:45,3180,313346
2020-04-23 19:59:45,3240,314751
2020-04-23 20:00:45,3300,316519
2020-04-23 20:01:45,3360,318388
2020-04-23 20:02:45,3420,320284
2020-04-23 20:03:45,3480,322220
2020-04-23 20:04:45,3540,323773
2020-04-23 20:05:45,3600,325705
2020-04-23 20:07:03,3678,327118
2020-04-23 20:07:45,3720,327912
2020-04-23 20:08:45,3780,328888
2020-04-23 20:09:45,3840,330208
2020-04-23 20:10:45,3900,331734
2020-04-23 20:11:45,3960,333087
2020-04-23 20:12:45,4020,334529
2020-04-23 20:13:45,4080,335807
2020-04-23 20:14:45,4140,337694
2020-04-23 20:15:46,4201,339000
2020-04-23 20:16:45,4260,339514
2020-04-23 20:17:45,4320,340477
2020-04-23 20:18:45,4380,341847
2020-04-23 20:19:45,4440,343256
2020-04-23 20:20:45,4500,344552
2020-04-23 20:21:45,4560,345698
2020-04-23 20:22:45,4620,346894
2020-04-23 20:23:45,4680,347969
2020-04-23 20:24:45,4740,348770
2020-04-23 20:25:45,4800,349758
2020-04-23 20:26:45,4860,350818
2020-04-23 20:27:45,4920,351843
2020-04-23 20:28:45,4980,353118
2020-04-23 20:29:45,5040,354218
2020-04-23 20:30:45,5100,355564
2020-04-23 20:31:46,5161,356869
2020-04-23 20:32:54,5229,357912
2020-04-23 20:33:45,5280,358387
2020-04-23 20:34:45,5340,359069
2020-04-23 20:35:45,5400,360255
2020-04-23 20:36:45,5460,361201
2020-04-23 20:37:45,5520,362173
2020-04-23 20:38:45,5580,363135
2020-04-23 20:39:45,5640,364185
2020-04-23 20:40:45,5700,364429
2020-04-23 20:41:45,5760,364879
2020-04-23 20:42:45,5820,365118
2020-04-23 20:43:45,5880,365399
2020-04-23 20:44:45,5940,365690
2020-04-23 20:45:45,6000,366167
2020-04-23 20:46:45,6060,367054
2020-04-23 20:47:45,6120,367523
2020-04-23 20:48:45,6180,367854
2020-04-23 20:50:07,6262,368309
2020-04-23 20:50:45,6300,368470
2020-04-23 20:51:45,6360,368912
2020-04-23 20:52:45,6420,369754
2020-04-23 20:53:45,6480,370062
2020-04-23 20:54:45,6540,370712
2020-04-23 20:55:45,6600,371576
2020-04-23 20:56:45,6660,372582
2020-04-23 20:57:45,6720,373431
2020-04-23 20:58:45,6780,373848
2020-04-23 20:59:45,6840,374391
2020-04-23 21:00:45,6900,374839
2020-04-23 21:01:45,6960,375726
2020-04-23 21:02:45,7020,376327
2020-04-23 21:03:45,7080,376846
2020-04-23 21:04:45,7140,377567
2020-04-23 21:05:45,7200,378115
2020-04-23 21:06:45,7260,378641
2020-04-23 21:07:45,7320,379308
2020-04-23 21:08:45,7380,380015
2020-04-23 21:09:45,7440,380734
2020-04-23 21:10:45,7500,381070
2020-04-23 21:11:45,7560,381598
2020-04-23 21:12:45,7620,382063
2020-04-23 21:13:45,7680,382619
2020-04-23 21:14:45,7740,383377
2020-04-23 21:15:45,7800,384029
2020-04-23 21:17:12,7887,384977
2020-04-23 21:17:45,7920,385563
2020-04-23 21:18:47,7982,386365
2020-04-23 21:19:45,8040,386461
2020-04-23 21:20:45,8100,386843
2020-04-23 21:21:45,8160,387467
2020-04-23 21:22:45,8220,388066
2020-04-23 21:23:45,8280,388596
2020-04-23 21:24:45,8340,389277
2020-04-23 21:25:46,8401,389884
2020-04-23 21:26:45,8460,390703
2020-04-23 21:27:45,8520,391521
2020-04-23 21:28:45,8580,391819
2020-04-23 21:29:45,8640,392171
2020-04-23 21:30:45,8700,392816
2020-04-23 21:31:45,8760,393356
2020-04-23 21:32:45,8820,393941
2020-04-23 21:33:45,8880,394481
2020-04-23 21:34:45,8940,395147
2020-04-23 21:35:45,9000,395663
2020-04-23 21:37:03,9078,396335
2020-04-23 21:37:45,9120,396488
2020-04-23 21:38:45,9180,396882
2020-04-23 21:39:45,9240,397450
2020-04-23 21:40:45,9300,398019
2020-04-23 21:41:45,9360,398596
2020-04-23 21:42:45,9420,399187
2020-04-23 21:43:45,9480,399747
2020-04-23 21:44:45,9540,400182
2020-04-23 21:45:45,9600,400670
2020-04-23 21:46:45,9660,400905
2020-04-23 21:47:45,9720,401199
2020-04-23 21:48:45,9780,401630
2020-04-23 21:49:45,9840,402098
2020-04-23 21:50:45,9900,402679
2020-04-23 21:51:45,9960,403213
2020-04-23 21:52:45,10020,403874
2020-04-23 21:53:53,10088,404240
2020-04-23 21:54:45,10140,404457
2020-04-23 21:55:45,10200,404823
2020-04-23 21:56:45,10260,405130
2020-04-23 21:57:45,10320,405529
2020-04-23 21:58:45,10380,405984
2020-04-23 21:59:45,10440,406679
