date,elapsed time,height
2020-04-24 18:49:22,0,0
2020-04-24 19:34:50,2728,1
2020-04-24 19:34:50,2728,2
2020-04-24 19:34:50,2728,3
2020-04-24 19:34:50,2728,4
2020-04-24 19:34:50,2728,5
2020-04-24 19:34:50,2728,6
2020-04-24 19:34:50,2728,7
2020-04-24 19:34:50,2728,8
2020-04-24 19:34:50,2728,9
2020-04-24 19:34:50,2728,10
2020-04-24 19:34:50,2728,11
2020-04-24 19:34:50,2728,12
2020-04-24 19:34:50,2728,13
2020-04-24 19:34:50,2728,14
2020-04-24 19:34:50,2728,15
2020-04-24 19:34:50,2728,16
2020-04-24 19:34:50,2728,17
2020-04-24 19:34:50,2728,18
2020-04-24 19:34:50,2728,19
2020-04-24 19:34:50,2728,20
2020-04-24 19:34:50,2728,21
2020-04-24 19:34:51,2729,22
2020-04-24 19:34:51,2729,23
2020-04-24 19:34:51,2729,24
2020-04-24 19:34:51,2729,25
2020-04-24 19:34:51,2729,26
2020-04-24 19:34:51,2729,27
2020-04-24 19:34:51,2729,28
2020-04-24 19:34:51,2729,29
2020-04-24 19:34:51,2729,30
2020-04-24 19:34:51,2729,31
2020-04-24 19:34:51,2729,32
2020-04-24 19:34:51,2729,33
2020-04-24 19:34:51,2729,34
2020-04-24 19:34:51,2729,35
2020-04-24 19:34:51,2729,36
2020-04-24 19:34:51,2729,37
2020-04-24 19:34:51,2729,38
2020-04-24 19:34:51,2729,39
2020-04-24 19:34:51,2729,40
2020-04-24 19:34:51,2729,41
2020-04-24 19:34:51,2729,42
2020-04-24 19:34:51,2729,43
2020-04-24 19:34:51,2729,44
2020-04-24 19:34:51,2729,45
2020-04-24 19:35:22,2760,4143
2020-04-24 19:36:22,2820,12599
2020-04-24 19:37:22,2880,23862
2020-04-24 19:38:22,2940,34357
2020-04-24 19:39:22,3000,45632
2020-04-24 19:40:22,3060,56841
2020-04-24 19:41:22,3120,68896
2020-04-24 19:42:22,3180,80971
2020-04-24 19:43:22,3240,91439
2020-04-24 19:44:22,3300,103346
2020-04-24 19:45:22,3360,115490
2020-04-24 19:46:22,3420,127547
2020-04-24 19:47:22,3480,138601
2020-04-24 19:48:22,3540,150565
2020-04-24 19:49:22,3600,162063
