date,elapsed time,height
2020-04-27 22:27:23,0,0
2020-04-27 23:13:03,2740,1
2020-04-27 23:13:03,2740,2
2020-04-27 23:13:03,2740,3
2020-04-27 23:13:03,2740,4
2020-04-27 23:13:03,2740,5
2020-04-27 23:13:03,2740,6
2020-04-27 23:13:03,2740,7
2020-04-27 23:13:03,2740,8
2020-04-27 23:13:03,2740,9
2020-04-27 23:13:03,2740,10
2020-04-27 23:13:03,2740,11
2020-04-27 23:13:04,2741,12
2020-04-27 23:13:04,2741,13
2020-04-27 23:13:04,2741,14
2020-04-27 23:13:04,2741,15
2020-04-27 23:13:04,2741,16
2020-04-27 23:13:04,2741,17
2020-04-27 23:13:04,2741,18
2020-04-27 23:13:04,2741,19
2020-04-27 23:13:04,2741,20
2020-04-27 23:13:04,2741,21
2020-04-27 23:13:04,2741,22
2020-04-27 23:13:04,2741,23
2020-04-27 23:13:04,2741,24
2020-04-27 23:13:04,2741,25
2020-04-27 23:13:04,2741,26
2020-04-27 23:13:04,2741,27
2020-04-27 23:13:04,2741,28
2020-04-27 23:13:04,2741,29
2020-04-27 23:13:04,2741,30
2020-04-27 23:13:04,2741,31
2020-04-27 23:13:04,2741,32
2020-04-27 23:13:04,2741,33
2020-04-27 23:13:04,2741,34
2020-04-27 23:13:04,2741,35
2020-04-27 23:13:04,2741,36
2020-04-27 23:13:04,2741,37
2020-04-27 23:13:04,2741,38
2020-04-27 23:13:04,2741,39
2020-04-27 23:13:04,2741,40
2020-04-27 23:13:04,2741,41
2020-04-27 23:13:04,2741,42
2020-04-27 23:13:04,2741,43
2020-04-27 23:13:04,2741,44
2020-04-27 23:13:04,2741,45
2020-04-27 23:13:23,2760,1558
2020-04-27 23:14:23,2820,6976
2020-04-27 23:15:23,2880,12112
2020-04-27 23:16:23,2940,17244
2020-04-27 23:17:23,3000,22403
2020-04-27 23:18:23,3060,27245
2020-04-27 23:19:23,3120,32195
2020-04-27 23:20:23,3180,37313
2020-04-27 23:21:23,3240,42356
2020-04-27 23:22:23,3300,47499
2020-04-27 23:23:23,3360,52402
2020-04-27 23:24:23,3420,57434
2020-04-27 23:25:23,3480,62479
2020-04-27 23:26:23,3540,67622
2020-04-27 23:27:23,3600,72790
2020-04-27 23:28:23,3660,76044
2020-04-27 23:29:23,3720,81081
2020-04-27 23:30:23,3780,85983
2020-04-27 23:31:23,3840,90879
2020-04-27 23:32:23,3900,95862
2020-04-27 23:33:23,3960,100818
2020-04-27 23:34:23,4020,105798
2020-04-27 23:35:23,4080,110960
2020-04-27 23:36:23,4140,115868
2020-04-27 23:37:23,4200,120828
2020-04-27 23:38:23,4260,126011
2020-04-27 23:39:23,4320,130931
2020-04-27 23:40:23,4380,135890
2020-04-27 23:41:23,4440,140744
2020-04-27 23:42:23,4500,145625
2020-04-27 23:43:23,4560,150729
2020-04-27 23:44:23,4620,155607
2020-04-27 23:45:23,4680,160609
2020-04-27 23:46:23,4740,165469
2020-04-27 23:47:23,4800,170494
2020-04-27 23:48:23,4860,175416
2020-04-27 23:49:23,4920,180167
2020-04-27 23:50:23,4980,184920
2020-04-27 23:51:23,5040,190156
2020-04-27 23:52:23,5100,194944
2020-04-27 23:53:23,5160,199794
2020-04-27 23:54:23,5220,204747
2020-04-27 23:55:23,5280,209716
2020-04-27 23:56:23,5340,214650
2020-04-27 23:57:23,5400,219688
2020-04-27 23:58:23,5460,224526
2020-04-27 23:59:23,5520,229405
2020-04-28 00:00:23,5580,234133
2020-04-28 00:01:23,5640,238982
2020-04-28 00:02:23,5700,243886
2020-04-28 00:03:23,5760,248697
2020-04-28 00:04:23,5820,253856
2020-04-28 00:05:23,5880,258782
2020-04-28 00:06:23,5940,263760
2020-04-28 00:07:23,6000,268782
2020-04-28 00:08:23,6060,273854
2020-04-28 00:09:23,6120,278794
2020-04-28 00:10:23,6180,283680
2020-04-28 00:11:23,6240,288751
2020-04-28 00:12:23,6300,293889
2020-04-28 00:13:23,6360,298771
2020-04-28 00:14:23,6420,303851
2020-04-28 00:15:23,6480,308787
2020-04-28 00:16:23,6540,313631
2020-04-28 00:17:23,6600,318537
2020-04-28 00:18:23,6660,323586
2020-04-28 00:19:23,6720,328586
2020-04-28 00:20:23,6780,333627
2020-04-28 00:21:23,6840,338647
2020-04-28 00:22:23,6900,343624
2020-04-28 00:23:23,6960,348613
2020-04-28 00:24:23,7020,353554
2020-04-28 00:25:23,7080,358424
2020-04-28 00:26:23,7140,363212
2020-04-28 00:27:23,7200,368252
2020-04-28 00:28:23,7260,372459
2020-04-28 00:29:23,7320,377495
2020-04-28 00:30:23,7380,382420
2020-04-28 00:31:23,7440,387655
2020-04-28 00:32:23,7500,392915
2020-04-28 00:33:23,7560,399175
2020-04-28 00:34:23,7620,405200
2020-04-28 00:35:23,7680,410178
2020-04-28 00:36:23,7740,416100
2020-04-28 00:37:23,7800,422480
2020-04-28 00:38:23,7860,428719
2020-04-28 00:39:23,7920,435337
2020-04-28 00:40:23,7980,441254
2020-04-28 00:41:23,8040,447691
2020-04-28 00:42:23,8100,453852
2020-04-28 00:43:23,8160,460151
2020-04-28 00:44:23,8220,466413
2020-04-28 00:45:23,8280,473007
2020-04-28 00:46:23,8340,479383
2020-04-28 00:47:23,8400,485857
2020-04-28 00:48:23,8460,492278
2020-04-28 00:49:23,8520,498873
2020-04-28 00:50:23,8580,505082
2020-04-28 00:51:23,8640,511073
2020-04-28 00:52:23,8700,517058
2020-04-28 00:53:23,8760,523569
2020-04-28 00:54:23,8820,530458
2020-04-28 00:55:23,8880,537547
2020-04-28 00:56:23,8940,545062
2020-04-28 00:57:23,9000,552582
2020-04-28 00:58:23,9060,559998
2020-04-28 00:59:23,9120,567535
2020-04-28 01:00:23,9180,574750
2020-04-28 01:01:23,9240,582538
2020-04-28 01:02:23,9300,589826
2020-04-28 01:03:23,9360,597024
2020-04-28 01:04:23,9420,604265
2020-04-28 01:05:23,9480,611445
2020-04-28 01:06:23,9540,618495
2020-04-28 01:07:23,9600,625587
2020-04-28 01:08:23,9660,632503
2020-04-28 01:09:23,9720,639344
2020-04-28 01:10:23,9780,645581
2020-04-28 01:11:23,9840,652774
2020-04-28 01:12:23,9900,659673
2020-04-28 01:13:23,9960,666074
2020-04-28 01:14:23,10020,671827
2020-04-28 01:15:23,10080,678951
2020-04-28 01:16:23,10140,686254
2020-04-28 01:17:23,10200,693653
2020-04-28 01:18:23,10260,700397
2020-04-28 01:19:23,10320,707765
2020-04-28 01:20:23,10380,714532
2020-04-28 01:21:23,10440,720280
2020-04-28 01:22:23,10500,727294
2020-04-28 01:23:23,10560,734251
2020-04-28 01:24:23,10620,741798
2020-04-28 01:25:23,10680,748930
2020-04-28 01:26:23,10740,756626
2020-04-28 01:27:23,10800,764008
2020-04-28 01:28:23,10860,771015
2020-04-28 01:29:23,10920,778031
2020-04-28 01:30:23,10980,785213
2020-04-28 01:31:23,11040,792494
2020-04-28 01:32:23,11100,799031
2020-04-28 01:33:23,11160,806306
2020-04-28 01:34:23,11220,814078
2020-04-28 01:35:23,11280,821234
2020-04-28 01:36:23,11340,828938
2020-04-28 01:37:23,11400,836310
2020-04-28 01:38:23,11460,843496
2020-04-28 01:39:23,11520,851069
2020-04-28 01:40:23,11580,858692
2020-04-28 01:41:23,11640,866150
2020-04-28 01:42:23,11700,873179
2020-04-28 01:43:23,11760,880359
2020-04-28 01:44:23,11820,887752
2020-04-28 01:45:23,11880,895353
2020-04-28 01:46:23,11940,902751
2020-04-28 01:47:23,12000,910415
2020-04-28 01:48:23,12060,917671
2020-04-28 01:49:23,12120,925340
2020-04-28 01:50:23,12180,932950
2020-04-28 01:51:23,12240,940619
2020-04-28 01:52:23,12300,947600
2020-04-28 01:53:23,12360,955234
2020-04-28 01:54:23,12420,962353
2020-04-28 01:55:23,12480,969446
2020-04-28 01:56:23,12540,976916
2020-04-28 01:57:23,12600,984722
2020-04-28 01:58:23,12660,990736
