date,elapsed time,height
2020-04-29 00:43:44,0,0
2020-04-29 01:22:10,2306,1
2020-04-29 01:22:10,2306,2
2020-04-29 01:22:10,2306,3
2020-04-29 01:22:10,2306,4
2020-04-29 01:22:10,2306,5
2020-04-29 01:22:10,2306,6
2020-04-29 01:22:10,2306,7
2020-04-29 01:22:10,2306,8
2020-04-29 01:22:10,2306,9
2020-04-29 01:22:10,2306,10
2020-04-29 01:22:10,2306,11
2020-04-29 01:22:10,2306,12
2020-04-29 01:22:10,2306,13
2020-04-29 01:22:10,2306,14
2020-04-29 01:22:10,2306,15
2020-04-29 01:22:10,2306,16
2020-04-29 01:22:10,2306,17
2020-04-29 01:22:10,2306,18
2020-04-29 01:22:10,2306,19
2020-04-29 01:22:10,2306,20
2020-04-29 01:22:10,2306,21
2020-04-29 01:22:10,2306,22
2020-04-29 01:22:10,2306,23
2020-04-29 01:22:10,2306,24
2020-04-29 01:22:10,2306,25
2020-04-29 01:22:10,2306,26
2020-04-29 01:22:10,2306,27
2020-04-29 01:22:10,2306,28
2020-04-29 01:22:10,2306,29
2020-04-29 01:22:10,2306,30
2020-04-29 01:22:10,2306,31
2020-04-29 01:22:10,2306,32
2020-04-29 01:22:10,2306,33
2020-04-29 01:22:10,2306,34
2020-04-29 01:22:10,2306,35
2020-04-29 01:22:10,2306,36
2020-04-29 01:22:11,2307,37
2020-04-29 01:22:11,2307,38
2020-04-29 01:22:44,2340,2416
2020-04-29 01:23:44,2400,7352
2020-04-29 01:24:44,2460,12126
2020-04-29 01:25:44,2520,16999
2020-04-29 01:26:44,2580,21837
2020-04-29 01:27:44,2640,26720
2020-04-29 01:28:44,2700,31692
2020-04-29 01:29:44,2760,36540
2020-04-29 01:30:44,2820,41405
2020-04-29 01:31:44,2880,46426
2020-04-29 01:32:44,2940,51281
2020-04-29 01:33:44,3000,56048
2020-04-29 01:34:44,3060,60716
2020-04-29 01:35:44,3120,65593
2020-04-29 01:36:44,3180,70415
2020-04-29 01:37:44,3240,75373
2020-04-29 01:38:44,3300,80236
2020-04-29 01:39:44,3360,85057
2020-04-29 01:40:44,3420,89655
2020-04-29 01:41:44,3480,94302
2020-04-29 01:42:44,3540,99820
2020-04-29 01:43:44,3600,105580
2020-04-29 01:44:44,3660,109051
2020-04-29 01:45:44,3720,115065
2020-04-29 01:46:44,3780,120825
2020-04-29 01:47:44,3840,126736
2020-04-29 01:48:44,3900,132465
2020-04-29 01:49:44,3960,138268
2020-04-29 01:50:44,4020,144103
2020-04-29 01:51:44,4080,149414
2020-04-29 01:52:44,4140,154932
2020-04-29 01:53:44,4200,161218
2020-04-29 01:54:44,4260,167626
2020-04-29 01:55:44,4320,173584
2020-04-29 01:56:44,4380,179764
2020-04-29 01:57:44,4440,187463
2020-04-29 01:58:44,4500,194837
2020-04-29 01:59:44,4560,202602
2020-04-29 02:00:44,4620,209737
2020-04-29 02:01:44,4680,216320
2020-04-29 02:02:44,4740,222931
2020-04-29 02:03:44,4800,230394
2020-04-29 02:04:44,4860,237152
2020-04-29 02:05:44,4920,244666
2020-04-29 02:06:44,4980,250669
2020-04-29 02:07:44,5040,256210
2020-04-29 02:08:44,5100,262277
2020-04-29 02:09:44,5160,268216
2020-04-29 02:10:44,5220,273766
2020-04-29 02:11:44,5280,279396
2020-04-29 02:12:44,5340,286392
2020-04-29 02:13:44,5400,293821
2020-04-29 02:14:44,5460,300984
2020-04-29 02:15:44,5520,308508
2020-04-29 02:16:44,5580,315190
2020-04-29 02:17:44,5640,322020
2020-04-29 02:18:44,5700,326965
2020-04-29 02:19:44,5760,333355
2020-04-29 02:20:44,5820,339549
2020-04-29 02:21:44,5880,346638
2020-04-29 02:22:44,5940,353458
2020-04-29 02:23:44,6000,360931
2020-04-29 02:24:44,6060,367600
2020-04-29 02:25:44,6120,374860
2020-04-29 02:26:44,6180,381632
2020-04-29 02:27:44,6240,388850
2020-04-29 02:28:44,6300,395269
2020-04-29 02:29:44,6360,401787
2020-04-29 02:30:44,6420,409013
2020-04-29 02:31:44,6480,416160
2020-04-29 02:32:44,6540,422721
2020-04-29 02:33:44,6600,430054
2020-04-29 02:34:44,6660,436781
2020-04-29 02:35:44,6720,444618
2020-04-29 02:36:44,6780,452175
2020-04-29 02:37:44,6840,459064
2020-04-29 02:38:44,6900,465601
2020-04-29 02:39:44,6960,472690
2020-04-29 02:40:44,7020,478179
2020-04-29 02:41:44,7080,483841
2020-04-29 02:42:45,7141,489514
2020-04-29 02:43:44,7200,496068
2020-04-29 02:44:44,7260,501665
2020-04-29 02:45:44,7320,509176
2020-04-29 02:46:44,7380,516360
2020-04-29 02:47:44,7440,523682
2020-04-29 02:48:44,7500,530563
2020-04-29 02:49:44,7560,537618
2020-04-29 02:50:44,7620,544476
2020-04-29 02:51:44,7680,551866
2020-04-29 02:52:44,7740,558436
2020-04-29 02:53:44,7800,565392
2020-04-29 02:54:44,7860,571842
2020-04-29 02:55:44,7920,578811
2020-04-29 02:56:44,7980,585966
2020-04-29 02:57:44,8040,593222
2020-04-29 02:58:44,8100,600295
2020-04-29 02:59:44,8160,607524
2020-04-29 03:00:44,8220,614599
2020-04-29 03:01:44,8280,621960
2020-04-29 03:02:44,8340,628597
2020-04-29 03:03:44,8400,636166
2020-04-29 03:04:44,8460,643119
2020-04-29 03:05:44,8520,650344
2020-04-29 03:06:44,8580,657385
