date,elapsed time,height
2020-04-29 15:45:24,0,0
2020-04-29 15:46:24,60,9901
2020-04-29 15:47:24,120,19755
2020-04-29 15:48:24,180,29165
2020-04-29 15:49:24,240,38515
2020-04-29 15:50:24,300,47797
2020-04-29 15:51:24,360,57076
2020-04-29 15:52:24,420,66226
2020-04-29 15:53:24,480,75454
2020-04-29 15:54:24,540,84596
2020-04-29 15:55:24,600,93793
2020-04-29 15:56:24,660,103009
2020-04-29 15:57:24,720,112211
2020-04-29 15:58:24,780,121377
2020-04-29 15:59:24,840,130435
2020-04-29 16:00:24,900,139646
2020-04-29 16:01:24,960,148748
2020-04-29 16:02:24,1020,157810
2020-04-29 16:03:24,1080,166937
2020-04-29 16:04:24,1140,175999
2020-04-29 16:05:24,1200,185201
2020-04-29 16:06:24,1260,194321
2020-04-29 16:07:24,1320,203384
2020-04-29 16:08:24,1380,212472
2020-04-29 16:09:24,1440,221614
2020-04-29 16:10:24,1500,230728
2020-04-29 16:11:24,1560,239900
2020-04-29 16:12:24,1620,249050
2020-04-29 16:13:24,1680,258164
2020-04-29 16:14:24,1740,267325
2020-04-29 16:15:24,1800,276477
2020-04-29 16:16:24,1860,285652
2020-04-29 16:17:24,1920,294788
2020-04-29 16:18:24,1980,303889
2020-04-29 16:19:24,2040,313151
2020-04-29 16:20:24,2100,322371
2020-04-29 16:21:24,2160,331478
2020-04-29 16:22:24,2220,340590
2020-04-29 16:23:24,2280,349776
2020-04-29 16:24:24,2340,358969
2020-04-29 16:25:24,2400,368086
2020-04-29 16:26:24,2460,377210
2020-04-29 16:27:24,2520,386408
2020-04-29 16:28:24,2580,395565
2020-04-29 16:29:24,2640,404751
2020-04-29 16:30:24,2700,413931
2020-04-29 16:31:24,2760,423171
2020-04-29 16:32:24,2820,432432
2020-04-29 16:33:24,2880,441586
2020-04-29 16:34:24,2940,450724
2020-04-29 16:35:24,3000,459959
2020-04-29 16:36:24,3060,469162
2020-04-29 16:37:24,3120,478392
2020-04-29 16:38:24,3180,487611
2020-04-29 16:39:24,3240,496869
2020-04-29 16:40:24,3300,506004
2020-04-29 16:41:24,3360,515081
2020-04-29 16:42:24,3420,524181
2020-04-29 16:43:24,3480,533282
2020-04-29 16:44:24,3540,542426
2020-04-29 16:45:24,3600,551498
2020-04-29 16:46:24,3660,560541
2020-04-29 16:47:24,3720,569641
2020-04-29 16:48:24,3780,578778
2020-04-29 16:49:24,3840,587843
2020-04-29 16:50:24,3900,596956
2020-04-29 16:51:24,3960,606062
2020-04-29 16:52:24,4020,615193
2020-04-29 16:53:24,4080,624261
2020-04-29 16:54:24,4140,633438
2020-04-29 16:55:24,4200,642648
2020-04-29 16:56:24,4260,651776
2020-04-29 16:57:24,4320,660878
2020-04-29 16:58:24,4380,669805
2020-04-29 16:59:24,4440,678833
2020-04-29 17:00:24,4500,687807
2020-04-29 17:01:24,4560,697043
2020-04-29 17:02:24,4620,706275
2020-04-29 17:03:24,4680,715392
2020-04-29 17:04:24,4740,724542
2020-04-29 17:05:24,4800,733822
2020-04-29 17:06:24,4860,742968
2020-04-29 17:07:24,4920,752150
2020-04-29 17:08:24,4980,761360
2020-04-29 17:09:24,5040,770508
2020-04-29 17:10:24,5100,779751
2020-04-29 17:11:24,5160,788937
2020-04-29 17:12:24,5220,798118
2020-04-29 17:13:24,5280,807389
2020-04-29 17:14:24,5340,816590
2020-04-29 17:15:24,5400,825932
2020-04-29 17:16:24,5460,835087
2020-04-29 17:17:24,5520,844331
2020-04-29 17:18:24,5580,853571
2020-04-29 17:19:24,5640,862840
2020-04-29 17:20:24,5700,872027
2020-04-29 17:21:24,5760,881269
2020-04-29 17:22:24,5820,890532
2020-04-29 17:23:24,5880,899862
2020-04-29 17:24:24,5940,909032
2020-04-29 17:25:24,6000,918165
2020-04-29 17:26:24,6060,927312
2020-04-29 17:27:24,6120,936501
2020-04-29 17:28:24,6180,945718
2020-04-29 17:29:24,6240,954926
2020-04-29 17:30:24,6300,964079
2020-04-29 17:31:24,6360,973274
2020-04-29 17:32:24,6420,982372
2020-04-29 17:33:24,6480,991387
2020-04-29 17:34:24,6540,1000581
2020-04-29 17:35:24,6600,1009773
2020-04-29 17:36:24,6660,1019025
2020-04-29 17:37:24,6720,1028209
2020-04-29 17:38:24,6780,1037494
2020-04-29 17:39:24,6840,1046805
2020-04-29 17:40:24,6900,1055941
2020-04-29 17:41:24,6960,1065128
2020-04-29 17:42:24,7020,1074245
2020-04-29 17:43:24,7080,1083388
2020-04-29 17:44:24,7140,1092454
2020-04-29 17:45:24,7200,1101503
2020-04-29 17:46:24,7260,1110592
2020-04-29 17:47:24,7320,1119764
2020-04-29 17:48:24,7380,1128872
2020-04-29 17:49:24,7440,1137994
2020-04-29 17:50:24,7500,1147100
2020-04-29 17:51:24,7560,1156255
2020-04-29 17:52:24,7620,1165390
2020-04-29 17:53:24,7680,1174425
2020-04-29 17:54:24,7740,1183557
2020-04-29 17:55:24,7800,1192617
2020-04-29 17:56:24,7860,1201711
2020-04-29 17:57:24,7920,1210925
