date,elapsed time,height
2020-05-09 16:07:52,0,0
2020-05-09 16:52:37,2685,1
2020-05-09 16:52:37,2685,2
2020-05-09 16:52:37,2685,3
2020-05-09 16:52:37,2685,4
2020-05-09 16:52:37,2685,5
2020-05-09 16:52:37,2685,6
2020-05-09 16:52:37,2685,7
2020-05-09 16:52:37,2685,8
2020-05-09 16:52:37,2685,9
2020-05-09 16:52:37,2685,10
2020-05-09 16:52:37,2685,11
2020-05-09 16:52:37,2685,12
2020-05-09 16:52:37,2685,13
2020-05-09 16:52:37,2685,14
2020-05-09 16:52:37,2685,15
2020-05-09 16:52:37,2685,16
2020-05-09 16:52:37,2685,17
2020-05-09 16:52:37,2685,18
2020-05-09 16:52:37,2685,19
2020-05-09 16:52:37,2685,20
2020-05-09 16:52:37,2685,21
2020-05-09 16:52:38,2686,22
2020-05-09 16:52:38,2686,23
2020-05-09 16:52:38,2686,24
2020-05-09 16:52:38,2686,25
2020-05-09 16:52:38,2686,26
2020-05-09 16:52:38,2686,27
2020-05-09 16:52:38,2686,28
2020-05-09 16:52:38,2686,29
2020-05-09 16:52:38,2686,30
2020-05-09 16:52:38,2686,31
2020-05-09 16:52:38,2686,32
2020-05-09 16:52:38,2686,33
2020-05-09 16:52:38,2686,34
2020-05-09 16:52:38,2686,35
2020-05-09 16:52:38,2686,36
2020-05-09 16:52:38,2686,37
2020-05-09 16:52:38,2686,38
2020-05-09 16:52:38,2686,39
2020-05-09 16:52:38,2686,40
2020-05-09 16:52:38,2686,41
2020-05-09 16:52:38,2686,42
2020-05-09 16:52:38,2686,43
2020-05-09 16:52:38,2686,44
2020-05-09 16:52:52,2700,1277
2020-05-09 16:53:52,2760,5958
2020-05-09 16:54:52,2820,10952
2020-05-09 16:55:52,2880,15905
2020-05-09 16:56:52,2940,20791
2020-05-09 16:57:52,3000,25759
2020-05-09 16:58:52,3060,30672
2020-05-09 16:59:52,3120,35747
2020-05-09 17:00:52,3180,40789
2020-05-09 17:01:52,3240,45131
2020-05-09 17:02:52,3300,49907
2020-05-09 17:03:52,3360,54490
2020-05-09 17:04:52,3420,59319
2020-05-09 17:05:52,3480,64489
2020-05-09 17:06:52,3540,69322
2020-05-09 17:07:52,3600,74248
2020-05-09 17:08:52,3660,77658
2020-05-09 17:09:52,3720,82641
2020-05-09 17:10:52,3780,87529
2020-05-09 17:11:52,3840,92319
2020-05-09 17:12:52,3900,97291
2020-05-09 17:13:52,3960,102234
2020-05-09 17:14:52,4020,107119
2020-05-09 17:15:52,4080,111929
2020-05-09 17:16:52,4140,116929
2020-05-09 17:17:52,4200,121976
2020-05-09 17:18:52,4260,126828
2020-05-09 17:19:52,4320,131705
2020-05-09 17:20:52,4380,136685
2020-05-09 17:21:52,4440,141680
2020-05-09 17:22:52,4500,146602
2020-05-09 17:23:52,4560,151526
2020-05-09 17:24:52,4620,156568
2020-05-09 17:25:52,4680,161466
2020-05-09 17:26:52,4740,166402
2020-05-09 17:27:52,4800,171321
2020-05-09 17:28:52,4860,176105
2020-05-09 17:29:52,4920,181080
2020-05-09 17:30:52,4980,186166
2020-05-09 17:31:52,5040,191075
2020-05-09 17:32:52,5100,196084
2020-05-09 17:33:52,5160,201053
2020-05-09 17:34:52,5220,206002
2020-05-09 17:35:52,5280,210970
2020-05-09 17:36:52,5340,215897
2020-05-09 17:37:52,5400,220901
2020-05-09 17:38:52,5460,225860
2020-05-09 17:39:52,5520,230794
2020-05-09 17:40:52,5580,235685
2020-05-09 17:41:52,5640,240633
2020-05-09 17:42:52,5700,245567
2020-05-09 17:43:52,5760,250483
2020-05-09 17:44:52,5820,255412
2020-05-09 17:45:52,5880,260235
2020-05-09 17:46:52,5940,265035
2020-05-09 17:47:52,6000,269953
2020-05-09 17:48:52,6060,274787
2020-05-09 17:49:52,6120,279601
2020-05-09 17:50:52,6180,284537
2020-05-09 17:51:52,6240,289473
2020-05-09 17:52:52,6300,294303
2020-05-09 17:53:52,6360,299237
2020-05-09 17:54:52,6420,303970
2020-05-09 17:55:52,6480,308657
2020-05-09 17:56:52,6540,313579
2020-05-09 17:57:52,6600,318456
2020-05-09 17:58:52,6660,323448
2020-05-09 17:59:52,6720,328536
2020-05-09 18:00:52,6780,333386
2020-05-09 18:01:52,6840,338216
2020-05-09 18:02:52,6900,343040
2020-05-09 18:03:52,6960,347893
2020-05-09 18:04:52,7020,352618
2020-05-09 18:05:52,7080,357483
2020-05-09 18:06:52,7140,362449
2020-05-09 18:07:52,7200,367416
2020-05-09 18:08:52,7260,371669
2020-05-09 18:09:52,7320,376609
2020-05-09 18:10:52,7380,381428
2020-05-09 18:11:52,7440,386196
2020-05-09 18:12:52,7500,391036
2020-05-09 18:13:52,7560,395874
2020-05-09 18:14:52,7620,400859
2020-05-09 18:15:52,7680,405756
2020-05-09 18:16:52,7740,410644
2020-05-09 18:17:52,7800,415549
2020-05-09 18:18:52,7860,420324
2020-05-09 18:19:52,7920,425089
2020-05-09 18:20:52,7980,430127
2020-05-09 18:21:52,8040,435378
2020-05-09 18:22:52,8100,440321
2020-05-09 18:23:52,8160,445842
2020-05-09 18:24:52,8220,451287
2020-05-09 18:25:52,8280,456874
2020-05-09 18:26:52,8340,462382
2020-05-09 18:27:52,8400,468188
2020-05-09 18:28:52,8460,474130
2020-05-09 18:29:52,8520,479930
2020-05-09 18:30:52,8580,485583
2020-05-09 18:31:52,8640,491514
2020-05-09 18:32:52,8700,497146
2020-05-09 18:33:52,8760,502919
2020-05-09 18:34:52,8820,508602
2020-05-09 18:35:52,8880,514365
2020-05-09 18:36:52,8940,519852
2020-05-09 18:37:52,9000,525479
2020-05-09 18:38:52,9060,530937
2020-05-09 18:39:52,9120,536783
2020-05-09 18:40:52,9180,542468
2020-05-09 18:41:52,9240,548054
2020-05-09 18:42:52,9300,553585
2020-05-09 18:43:52,9360,559236
2020-05-09 18:44:52,9420,564728
2020-05-09 18:45:52,9480,570462
2020-05-09 18:46:52,9540,576073
2020-05-09 18:47:52,9600,581984
2020-05-09 18:48:52,9660,587580
2020-05-09 18:49:52,9720,593264
2020-05-09 18:50:52,9780,599288
2020-05-09 18:51:52,9840,605318
2020-05-09 18:52:52,9900,610935
2020-05-09 18:53:52,9960,616967
2020-05-09 18:54:52,10020,622566
2020-05-09 18:55:52,10080,628254
2020-05-09 18:56:52,10140,633839
2020-05-09 18:57:52,10200,639752
2020-05-09 18:58:52,10260,645795
2020-05-09 18:59:52,10320,651685
2020-05-09 19:00:52,10380,657390
2020-05-09 19:01:52,10440,663506
2020-05-09 19:02:52,10500,669107
2020-05-09 19:03:52,10560,675104
2020-05-09 19:04:52,10620,681305
2020-05-09 19:05:52,10680,687754
2020-05-09 19:06:52,10740,693941
2020-05-09 19:07:52,10800,700014
2020-05-09 19:08:52,10860,705379
2020-05-09 19:09:52,10920,711207
2020-05-09 19:10:52,10980,716808
2020-05-09 19:11:52,11040,722597
2020-05-09 19:12:52,11100,728418
2020-05-09 19:13:52,11160,734199
2020-05-09 19:14:52,11220,740235
2020-05-09 19:15:52,11280,747173
2020-05-09 19:16:52,11340,753820
2020-05-09 19:17:52,11400,760654
2020-05-09 19:18:52,11460,767076
2020-05-09 19:19:52,11520,774004
2020-05-09 19:20:52,11580,780552
2020-05-09 19:21:52,11640,787567
2020-05-09 19:22:52,11700,794534
2020-05-09 19:23:52,11760,801170
2020-05-09 19:24:52,11820,807783
2020-05-09 19:25:52,11880,814602
2020-05-09 19:26:52,11940,821207
2020-05-09 19:27:52,12000,828499
2020-05-09 19:28:52,12060,835048
2020-05-09 19:29:52,12120,841947
2020-05-09 19:30:52,12180,848675
2020-05-09 19:31:52,12240,855853
2020-05-09 19:32:52,12300,862503
2020-05-09 19:33:52,12360,869344
2020-05-09 19:34:52,12420,875659
2020-05-09 19:35:52,12480,881932
2020-05-09 19:36:52,12540,887706
2020-05-09 19:37:52,12600,893788
2020-05-09 19:38:52,12660,899785
2020-05-09 19:39:52,12720,905761
2020-05-09 19:40:52,12780,911468
2020-05-09 19:41:52,12840,917447
2020-05-09 19:42:52,12900,923325
2020-05-09 19:43:52,12960,929536
2020-05-09 19:44:52,13020,935403
2020-05-09 19:45:52,13080,941304
2020-05-09 19:46:52,13140,947194
2020-05-09 19:47:52,13200,953204
2020-05-09 19:48:52,13260,959054
2020-05-09 19:49:52,13320,965119
2020-05-09 19:50:52,13380,970944
2020-05-09 19:51:52,13440,977014
2020-05-09 19:52:52,13500,982782
2020-05-09 19:53:52,13560,988516
2020-05-09 19:54:52,13620,994429
2020-05-09 19:55:52,13680,1000225
2020-05-09 19:56:52,13740,1005937
2020-05-09 19:57:52,13800,1011808
2020-05-09 19:58:52,13860,1017730
2020-05-09 19:59:52,13920,1023814
2020-05-09 20:00:52,13980,1029373
2020-05-09 20:01:52,14040,1035536
2020-05-09 20:02:52,14100,1041315
2020-05-09 20:03:52,14160,1047200
2020-05-09 20:04:52,14220,1052951
2020-05-09 20:05:52,14280,1058899
2020-05-09 20:06:52,14340,1064730
2020-05-09 20:07:52,14400,1070713
2020-05-09 20:08:52,14460,1076232
2020-05-09 20:09:52,14520,1082205
2020-05-09 20:10:52,14580,1088017
2020-05-09 20:11:52,14640,1094018
2020-05-09 20:12:52,14700,1099983
2020-05-09 20:13:52,14760,1105900
2020-05-09 20:14:52,14820,1111532
2020-05-09 20:15:52,14880,1117203
2020-05-09 20:16:52,14940,1122773
2020-05-09 20:17:52,15000,1128557
2020-05-09 20:18:52,15060,1134241
2020-05-09 20:19:52,15120,1140021
2020-05-09 20:20:52,15180,1146809
2020-05-09 20:21:52,15240,1152985
2020-05-09 20:22:52,15300,1159527
2020-05-09 20:23:52,15360,1166622
2020-05-09 20:24:52,15420,1172618
2020-05-09 20:25:52,15480,1178599
2020-05-09 20:26:52,15540,1184473
2020-05-09 20:27:52,15600,1190491
2020-05-09 20:28:52,15660,1196116
2020-05-09 20:29:52,15720,1202006
2020-05-09 20:30:52,15780,1207528
2020-05-09 20:31:52,15840,1213201
2020-05-09 20:32:52,15900,1218830
2020-05-09 20:33:52,15960,1224765
2020-05-09 20:34:52,16020,1230449
2020-05-09 20:35:52,16080,1236295
2020-05-09 20:36:52,16140,1242271
2020-05-09 20:37:52,16200,1248843
2020-05-09 20:38:52,16260,1254259
2020-05-09 20:39:52,16320,1260076
2020-05-09 20:40:52,16380,1266752
2020-05-09 20:41:52,16440,1274973
2020-05-09 20:42:52,16500,1282666
2020-05-09 20:43:52,16560,1291386
2020-05-09 20:44:52,16620,1298628
2020-05-09 20:45:52,16680,1306444
2020-05-09 20:46:52,16740,1313678
2020-05-09 20:47:52,16800,1322126
2020-05-09 20:48:52,16860,1330048
2020-05-09 20:49:52,16920,1338628
2020-05-09 20:50:52,16980,1346282
2020-05-09 20:51:52,17040,1355262
2020-05-09 20:52:52,17100,1362771
2020-05-09 20:53:52,17160,1371180
2020-05-09 20:54:52,17220,1378620
2020-05-09 20:55:52,17280,1387415
