date,elapsed time,height
2020-05-10 17:36:21,0,0
2020-05-10 18:22:07,2746,1
2020-05-10 18:22:07,2746,2
2020-05-10 18:22:07,2746,3
2020-05-10 18:22:07,2746,4
2020-05-10 18:22:07,2746,5
2020-05-10 18:22:07,2746,6
2020-05-10 18:22:07,2746,7
2020-05-10 18:22:07,2746,8
2020-05-10 18:22:07,2746,9
2020-05-10 18:22:07,2746,10
2020-05-10 18:22:07,2746,11
2020-05-10 18:22:08,2747,12
2020-05-10 18:22:08,2747,13
2020-05-10 18:22:08,2747,14
2020-05-10 18:22:08,2747,15
2020-05-10 18:22:08,2747,16
2020-05-10 18:22:08,2747,17
2020-05-10 18:22:08,2747,18
2020-05-10 18:22:08,2747,19
2020-05-10 18:22:08,2747,20
2020-05-10 18:22:08,2747,21
2020-05-10 18:22:08,2747,22
2020-05-10 18:22:08,2747,23
2020-05-10 18:22:08,2747,24
2020-05-10 18:22:08,2747,25
2020-05-10 18:22:08,2747,26
2020-05-10 18:22:08,2747,27
2020-05-10 18:22:08,2747,28
2020-05-10 18:22:08,2747,29
2020-05-10 18:22:08,2747,30
2020-05-10 18:22:08,2747,31
2020-05-10 18:22:08,2747,32
2020-05-10 18:22:08,2747,33
2020-05-10 18:22:08,2747,34
2020-05-10 18:22:08,2747,35
2020-05-10 18:22:08,2747,36
2020-05-10 18:22:08,2747,37
2020-05-10 18:22:08,2747,38
2020-05-10 18:22:08,2747,39
2020-05-10 18:22:08,2747,40
2020-05-10 18:22:08,2747,41
2020-05-10 18:22:08,2747,42
2020-05-10 18:22:08,2747,43
2020-05-10 18:22:08,2747,44
2020-05-10 18:22:08,2747,45
2020-05-10 18:22:21,2760,1303
2020-05-10 18:23:21,2820,6470
2020-05-10 18:24:22,2881,12381
2020-05-10 18:25:21,2940,18436
2020-05-10 18:26:21,3000,24497
2020-05-10 18:27:21,3060,30704
2020-05-10 18:28:21,3120,36928
2020-05-10 18:29:21,3180,43385
