date,elapsed time,height
2020-05-11 06:52:01,0,0
2020-05-11 06:59:09,428,1
2020-05-11 06:59:09,428,2
2020-05-11 06:59:09,428,3
2020-05-11 06:59:09,428,4
2020-05-11 06:59:09,428,5
2020-05-11 06:59:09,428,6
2020-05-11 06:59:09,428,7
2020-05-11 07:00:06,485,1282
2020-05-11 07:01:01,540,4322
2020-05-11 07:02:02,601,7610
2020-05-11 07:03:01,660,10617
2020-05-11 07:04:02,721,13358
2020-05-11 07:05:02,781,15496
2020-05-11 07:06:02,841,17313
2020-05-11 07:07:04,903,19103
2020-05-11 07:08:06,965,20480
2020-05-11 07:09:04,1023,21948
2020-05-11 07:10:01,1080,23167
2020-05-11 07:11:03,1142,24298
2020-05-11 07:12:07,1206,25539
2020-05-11 07:13:10,1269,26727
2020-05-11 07:14:01,1320,27813
2020-05-11 07:15:04,1383,28523
2020-05-11 07:16:01,1440,29385
2020-05-11 07:17:01,1500,30116
2020-05-11 07:18:14,1573,31128
2020-05-11 07:19:15,1634,31833
2020-05-11 07:20:17,1696,32593
2020-05-11 07:21:22,1761,33371
2020-05-11 07:22:42,1841,34070
2020-05-11 07:23:02,1861,34355
2020-05-11 07:24:03,1922,34948
2020-05-11 07:25:13,1992,35696
2020-05-11 07:26:03,2042,36359
2020-05-11 07:27:17,2116,36859
2020-05-11 07:28:01,2160,37214
2020-05-11 07:29:40,2259,37992
2020-05-11 07:30:06,2285,38231
2020-05-11 07:31:15,2354,38861
2020-05-11 07:32:08,2407,39435
2020-05-11 07:33:01,2460,39691
2020-05-11 07:34:42,2561,40413
2020-05-11 07:35:06,2585,40590
2020-05-11 07:36:40,2679,41276
2020-05-11 07:37:05,2704,41449
2020-05-11 07:38:02,2761,42056
2020-05-11 07:39:04,2823,42301
2020-05-11 07:40:49,2928,42924
2020-05-11 07:41:05,2944,43025
2020-05-11 07:42:58,3057,43790
2020-05-11 07:43:04,3063,43853
2020-05-11 07:44:01,3120,44487
2020-05-11 07:45:11,3190,44636
2020-05-11 07:46:01,3240,45862
2020-05-11 07:47:01,3300,50370
2020-05-11 07:48:01,3360,53839
2020-05-11 07:49:01,3420,58616
2020-05-11 07:50:01,3480,63771
2020-05-11 07:51:01,3540,68982
2020-05-11 07:52:01,3600,74239
2020-05-11 07:53:01,3660,77597
2020-05-11 07:54:01,3720,83493
2020-05-11 07:55:01,3780,89480
2020-05-11 07:56:01,3840,95286
2020-05-11 07:57:01,3900,101362
2020-05-11 07:58:01,3960,107382
2020-05-11 07:59:01,4020,113284
2020-05-11 08:00:01,4080,119217
